O,D,Ton
3,35,365
3,36,570
3,37,422
3,38,746
3,39,427
3,40,463
3,41,286
3,42,214
3,43,692
3,44,589
3,45,562
3,46,187
3,47,161
3,48,302
3,49,338
3,50,558
3,51,706
3,52,399
3,53,400
3,54,211
3,55,520
3,56,685
3,57,206
3,58,270
3,59,532
3,60,625
3,61,218
3,62,291
3,63,334
3,64,496
3,65,103
3,66,501
3,67,369
3,68,179
3,69,211
3,70,196
3,71,34
3,72,16
3,73,480
3,74,142
4,1,431
4,2,101
4,3,321
4,4,417
4,5,426
4,6,133
4,7,533
4,8,7
4,9,91
4,10,574
4,11,383
4,12,647
4,13,691
4,14,273
4,15,95
4,16,261
4,17,463
4,18,495
4,19,576
4,20,121
4,21,375
4,22,104
4,23,34
4,24,36
4,25,181
4,26,695
4,27,410
4,28,651
4,29,269
4,30,603
4,31,605
4,32,521
4,33,723
4,34,533
4,35,641
4,36,485
4,37,421
4,38,402
4,39,535
4,40,296
4,41,566
4,42,255
4,43,565
4,44,356
4,45,36
4,46,67
4,47,397
4,48,510
4,49,468
4,50,413
4,51,154
4,52,657
4,53,574
4,54,193
4,55,650
4,56,15
4,57,555
4,58,609
4,59,62
4,60,418
4,61,372
4,62,272
4,63,400
4,64,424
4,65,606
4,66,423
4,67,639
4,68,53
4,69,120
4,70,126
4,71,633
4,72,756
4,73,558
4,74,679
5,1,292
5,2,362
5,3,163
5,4,300
5,5,52
5,6,72
5,7,190
5,8,153
5,9,234
5,10,673
5,11,663
5,12,626
5,13,449
5,14,303
5,15,327
5,16,574
5,17,169
5,18,358
5,19,119
5,20,462
5,21,583
5,22,123
5,23,265
5,24,370
5,25,32
5,26,617
5,27,665
5,28,194
5,29,323
5,30,392
5,31,571
5,32,237
5,33,190
5,34,567
5,35,176
5,36,279
5,37,416
5,38,116
5,39,331
5,40,588
5,41,471
5,42,371
5,43,10
5,44,131
5,45,393
5,46,717
5,47,49
5,48,561
5,49,295
5,50,430
5,51,719
5,52,454
5,53,193
5,54,75
5,55,338
5,56,395
5,57,246
5,58,296
5,59,408
5,60,259
5,61,122
5,62,28
5,63,479
5,64,707
5,65,48
5,66,176
5,67,683
5,68,456
5,69,632
5,71,249
5,72,363
5,73,485
5,74,730
6,1,558
6,2,280
6,3,268
6,4,486
6,5,226
6,6,161
6,7,673
6,8,420
6,9,256
6,10,674
6,11,215
6,12,673
6,13,284
6,14,62
6,15,358
6,16,297
6,17,479
6,18,610
6,19,717
6,20,117
6,21,247
6,22,559
6,23,523
6,24,106
6,25,39
6,26,6
6,27,65
6,28,681
6,29,357
6,30,268
6,31,100
6,32,603
6,33,213
6,34,406
6,35,6
6,36,282
6,37,568
6,38,705
6,39,14
6,40,643
6,41,469
6,42,198
6,43,362
6,44,217
6,45,422
6,46,650
6,47,212
6,48,470
6,49,630
6,50,294
6,51,299
6,52,49
6,53,17
6,54,190
6,55,432
6,56,323
6,57,550
6,58,304
6,59,32
6,60,427
6,61,318
6,62,269
6,63,400
6,64,211
6,65,421
6,66,527
6,67,509
6,68,161
6,69,497
6,70,163
6,71,298
6,72,574
6,73,697
6,74,121
7,1,538
7,2,594
7,3,456
7,4,229
7,5,666
7,6,246
7,7,291
7,8,448
7,9,500
7,10,235
7,11,136
7,12,237
7,13,134
7,14,586
7,15,141
7,16,277
7,17,512
7,19,33
7,20,345
7,21,93
7,22,220
7,23,451
7,24,174
7,25,585
7,26,474
7,27,400
7,28,454
7,29,406
7,30,529
7,31,653
7,32,290
7,33,680
7,34,82
7,35,631
7,36,300
7,37,409
7,38,72
7,39,248
7,40,503
7,41,485
7,42,504
7,43,206
7,44,383
7,45,586
7,46,91
7,47,678
7,48,596
7,49,36
7,50,684
7,51,305
7,52,99
7,53,462
7,54,108
7,55,550
7,56,201
7,57,603
7,58,359
7,59,305
7,60,241
7,61,429
7,62,229
7,63,678
7,64,326
7,65,347
7,66,523
7,67,462
7,68,442
7,69,411
7,70,499
7,71,443
7,72,333
7,73,359
7,74,462
8,1,620
8,2,52
8,3,579
8,4,504
8,5,158
8,6,424
8,7,384
8,8,585
8,9,32
8,10,265
8,11,465
8,12,180
8,13,106
8,14,358
8,15,298
8,16,485
8,17,269
8,18,445
8,19,123
8,20,511
8,21,183
8,22,223
8,23,619
8,24,323
8,25,402
8,26,253
8,27,290
8,28,384
8,29,602
8,30,363
8,31,428
8,32,717
8,33,481
8,34,453
8,35,526
8,36,12
8,37,211
8,38,344
8,39,482
8,40,487
8,41,50
8,42,154
8,43,138
8,44,508
8,45,663
8,46,291
8,47,130
8,48,374
8,49,337
8,50,315
8,51,148
8,52,130
8,53,672
8,54,467
8,55,593
8,56,545
8,57,151
8,58,387
8,59,515
8,60,604
8,61,377
8,62,472
8,63,223
8,64,306
8,65,599
8,66,499
8,67,351
8,68,422
8,69,260
8,70,79
8,71,626
8,72,758
8,73,49
8,74,467
9,1,13
9,2,306
9,3,306
9,4,450
9,5,520
9,6,16
9,7,90
9,8,225
9,9,403
9,10,623
9,11,150
9,12,621
9,13,289
9,14,73
9,15,140
9,16,503
9,17,212
9,18,217
9,19,41
9,20,476
9,21,262
9,22,702
9,23,538
9,24,591
9,25,603
9,26,604
9,27,553
9,28,136
9,29,369
9,30,401
9,31,217
9,32,226
9,33,215
9,34,627
9,35,497
9,36,46
9,37,691
9,38,284
9,39,564
9,40,382
9,41,322
9,42,750
9,43,712
9,44,450
9,45,152
9,46,267
9,47,71
9,48,278
9,49,143
9,50,659
9,51,232
9,52,272
9,53,289
9,54,201
9,55,129
9,56,177
9,57,393
9,58,160
9,59,420
9,60,283
9,61,667
9,62,350
9,63,584
9,64,185
9,65,552
9,66,470
9,67,674
9,68,329
9,69,186
9,70,674
9,71,603
9,72,515
9,73,257
9,74,272
10,1,409
10,2,703
10,3,601
10,4,425
10,5,672
10,6,444
10,7,260
10,8,546
10,9,562
10,10,501
10,11,521
10,12,520
10,13,425
10,14,251
10,15,524
10,16,268
10,17,237
10,18,726
10,19,212
10,20,325
10,21,493
10,22,55
10,23,414
10,24,506
10,25,503
10,26,215
10,27,661
10,28,281
10,29,143
10,30,514
10,31,598
10,32,584
10,33,601
10,34,75
10,35,444
10,36,638
10,37,291
10,38,252
10,39,426
10,40,528
10,41,401
10,42,641
10,43,736
10,44,317
10,45,386
10,46,202
10,47,399
10,48,680
10,49,448
10,50,554
10,51,453
10,52,157
10,53,364
10,54,472
10,55,437
10,56,50
10,57,121
10,58,359
10,59,515
10,60,683
10,61,635
10,62,477
10,63,410
10,64,490
10,65,633
10,66,696
10,67,67
10,68,599
10,69,301
10,70,192
10,71,251
10,72,261
10,73,481
10,74,524
11,1,548
11,2,386
11,3,23
11,4,275
11,5,7
11,6,255
11,7,136
11,8,144
11,9,422
11,10,383
11,11,60
11,12,203
11,13,612
11,14,12
11,15,668
11,16,347
11,17,330
11,18,148
11,19,574
11,20,72
11,21,209
11,22,325
11,23,193
11,24,629
11,25,191
11,26,234
11,27,183
11,28,146
11,29,445
11,30,631
11,31,38
11,32,321
11,33,158
11,34,313
11,35,535
11,36,6
11,37,71
11,38,494
11,39,700
11,40,529
11,41,253
11,42,139
11,43,573
11,44,418
11,45,645
11,46,199
11,47,355
11,48,476
11,49,26
11,50,522
11,51,486
11,52,77
11,53,155
11,54,166
11,55,605
11,56,580
11,57,294
11,58,388
11,59,632
11,60,321
11,61,548
11,62,369
11,63,530
11,64,623
11,65,27
11,66,525
11,67,452
11,68,157
11,69,526
11,70,643
11,71,147
11,72,350
11,73,22
11,74,542
12,1,335
12,2,44
12,3,470
12,4,82
12,5,37
12,6,92
12,7,647
12,8,518
12,9,49
12,10,26
12,11,167
12,12,102
12,13,9
12,14,667
12,15,55
12,16,24
12,17,160
12,18,131
12,19,674
12,20,451
12,21,291
12,22,368
12,23,126
12,24,326
12,25,679
12,26,218
12,27,639
12,28,585
12,29,603
12,30,331
12,31,563
12,32,570
12,33,433
12,34,566
12,35,722
12,36,157
12,37,28
12,38,438
12,39,367
12,40,452
12,41,425
12,42,116
12,43,637
12,44,189
12,45,128
12,46,142
12,47,274
12,48,272
12,49,707
12,50,686
12,51,143
12,52,126
12,53,657
12,54,291
12,55,492
12,56,154
12,57,694
12,58,20
12,59,470
12,60,515
12,61,9
12,62,619
12,63,494
12,64,390
12,65,278
12,66,17
12,67,122
12,68,235
12,69,41
12,70,397
12,71,214
12,72,234
12,73,283
12,74,263
13,1,677
13,2,668
13,3,110
13,4,77
13,5,530
13,6,330
13,7,148
13,8,355
13,9,417
13,10,426
13,11,57
13,12,72
13,13,587
13,14,285
13,15,267
13,16,428
13,17,196
13,18,309
13,19,70
13,20,374
13,21,455
13,22,501
13,23,434
13,24,652
13,25,322
13,26,32
13,27,356
13,28,623
13,29,50
13,30,216
13,31,536
13,32,649
13,33,93
13,34,67
13,35,141
13,36,75
13,37,179
13,38,212
13,39,469
13,40,362
13,41,241
13,42,488
13,43,742
13,44,274
13,45,464
13,46,503
13,47,553
13,48,493
13,49,306
13,50,274
13,51,137
13,52,339
13,53,109
13,54,80
13,55,117
13,56,459
13,57,348
13,58,375
13,59,594
13,60,416
13,61,317
13,62,459
13,63,413
13,64,99
13,65,712
13,66,452
13,67,237
13,68,169
13,69,623
13,70,116
13,71,217
13,72,582
13,73,248
13,74,303
14,1,36
14,2,455
14,3,517
14,4,346
14,5,643
14,6,316
14,7,288
14,8,331
14,9,9
14,10,13
14,11,474
14,12,79
14,13,637
14,14,517
14,15,690
14,16,631
14,17,576
14,18,361
14,19,625
14,20,592
14,21,646
14,22,655
14,23,299
14,24,430
14,25,570
14,26,445
14,27,717
14,28,501
14,29,439
14,30,647
14,31,225
14,32,187
14,33,288
14,34,118
14,35,440
14,36,66
14,37,305
14,38,243
14,39,110
14,40,288
14,41,262
14,42,481
14,43,407
14,44,468
14,45,99
14,46,162
14,47,238
14,48,15
14,49,118
14,50,289
14,51,123
14,52,320
14,53,640
14,54,440
14,55,66
14,56,37
14,57,85
14,58,22
14,59,317
14,60,218
14,61,212
14,62,330
14,63,581
14,64,515
14,65,67
14,66,39
14,67,437
14,68,532
14,69,392
14,70,606
14,71,509
14,72,108
14,73,651
14,74,709
15,1,217
15,2,535
15,3,161
15,4,407
15,5,475
15,6,575
15,7,321
15,8,175
15,9,585
15,10,69
15,11,516
15,12,290
15,13,198
15,14,633
15,15,384
15,16,555
15,17,624
15,18,287
15,19,126
15,20,28
15,21,547
15,22,224
15,23,532
15,24,612
15,25,424
15,26,25
15,27,632
15,28,258
15,29,660
15,30,536
15,31,391
15,32,276
15,33,547
15,34,159
15,35,515
15,36,438
15,37,556
15,38,437
15,39,49
15,40,386
15,41,214
15,42,98
15,43,661
15,44,412
15,45,482
15,46,340
15,47,505
15,48,422
15,49,570
15,50,56
15,51,603
15,52,650
15,53,634
15,54,489
15,55,608
15,56,461
15,57,185
15,58,482
15,59,423
15,60,217
15,61,617
15,62,333
15,63,668
15,64,488
15,65,677
15,66,16
15,67,195
15,68,564
15,69,629
15,70,565
15,71,153
15,72,651
15,73,673
15,74,330
16,1,717
16,2,331
16,3,613
16,4,302
16,5,363
16,6,308
16,7,206
16,8,10
16,9,446
16,10,561
16,11,582
16,12,156
16,13,722
16,14,427
16,15,523
16,16,267
16,17,86
16,18,263
16,19,666
16,20,722
16,21,367
16,22,551
16,23,626
16,24,301
16,25,453
16,26,279
16,27,65
16,28,388
16,29,235
16,30,464
16,31,122
16,32,397
16,33,123
16,34,539
16,35,779
16,36,279
16,37,465
16,38,551
16,39,588
16,40,264
16,41,335
16,42,642
16,43,196
16,44,180
16,45,525
16,46,433
16,47,105
16,48,137
16,49,139
16,50,504
16,51,295
16,52,193
16,53,547
16,54,133
16,55,176
16,56,131
16,57,229
16,59,636
16,60,599
16,61,540
16,62,684
16,63,414
16,64,268
16,65,234
16,66,325
16,67,372
16,68,564
16,69,664
16,70,101
16,71,535
16,72,199
16,73,708
16,74,313
17,1,230
17,2,218
17,3,258
17,4,579
17,5,682
17,6,350
17,7,373
17,8,717
17,9,293
17,10,453
17,11,15
17,12,48
17,13,744
17,14,211
17,15,82
17,16,343
17,17,219
17,18,9
17,19,65
17,20,539
17,21,639
17,22,505
17,23,187
17,24,80
17,25,676
17,26,478
17,27,555
17,28,174
17,29,364
17,30,444
17,31,267
17,32,47
17,33,135
17,34,497
17,35,104
17,36,535
17,37,32
17,38,162
17,39,681
17,40,256
17,41,444
17,42,77
17,43,16
17,44,399
17,45,177
17,46,501
17,47,203
17,48,493
17,49,342
17,50,700
17,51,99
17,52,654
17,53,481
17,54,192
17,55,440
17,56,346
17,57,337
17,58,332
17,59,725
17,60,31
17,61,200
17,62,659
17,63,348
17,64,676
17,65,109
17,66,125
17,67,235
17,68,321
17,69,411
17,70,524
17,71,148
17,72,559
17,73,284
17,74,464
18,1,507
18,2,59
18,3,374
18,4,39
18,5,672
18,6,322
18,7,504
18,8,71
18,9,266
18,10,671
18,11,564
18,12,412
18,13,344
18,14,717
18,15,514
18,16,582
18,17,327
18,18,375
18,19,134
18,20,197
18,21,229
18,22,53
18,23,673
18,24,336
18,25,589
18,26,103
18,27,661
18,28,579
18,29,183
18,30,359
18,31,398
18,32,243
18,33,595
18,34,305
18,35,80
18,36,313
18,37,486
18,38,287
18,39,354
18,40,5
18,41,177
18,42,563
18,43,365
18,44,180
18,45,699
18,46,377
18,47,380
18,48,197
18,49,488
18,50,212
18,51,453
18,52,608
18,53,267
18,54,642
18,55,609
18,56,6
18,57,346
18,58,594
18,59,709
18,60,416
18,61,187
18,62,104
18,63,23
18,64,437
18,65,500
18,66,491
18,67,717
18,68,542
18,69,516
18,70,659
18,71,415
18,72,191
18,73,396
18,74,316
19,1,514
19,2,116
19,3,474
19,4,135
19,5,663
19,6,11
19,7,473
19,8,205
19,9,661
19,10,86
19,11,142
19,12,74
19,13,415
19,14,649
19,15,289
19,16,493
19,17,534
19,18,264
19,19,133
19,20,191
19,21,2
19,22,650
19,23,472
19,24,266
19,25,448
19,26,437
19,27,290
19,28,442
19,29,167
19,30,39
19,31,9
19,32,449
19,33,472
19,34,618
19,35,690
19,36,211
19,37,3
19,38,572
19,39,536
19,40,167
19,41,365
19,42,371
19,43,407
19,44,529
19,45,30
19,46,181
19,47,715
19,48,345
19,49,228
19,50,546
19,51,445
19,52,361
19,53,218
19,54,504
19,55,80
19,56,233
19,57,662
19,58,682
19,59,616
19,60,388
19,61,720
19,62,170
19,63,220
19,64,98
19,65,150
19,66,581
19,67,621
19,68,625
19,69,482
19,70,626
19,71,421
19,72,619
19,73,404
19,74,681
20,1,517
20,2,525
20,3,450
20,4,220
20,5,261
20,6,406
20,7,470
20,8,425
20,9,387
20,10,317
20,11,306
20,12,332
20,13,387
20,14,509
20,15,407
20,16,708
20,17,546
20,18,460
20,19,308
20,20,527
20,21,490
20,22,124
20,23,50
20,24,139
20,25,392
20,26,652
20,27,290
20,28,635
20,29,318
20,30,156
20,31,262
20,32,230
20,33,258
20,34,260
20,35,352
20,36,717
20,37,133
20,38,426
20,39,353
20,40,651
20,41,230
20,42,170
20,43,663
20,44,240
20,45,49
20,46,365
20,47,413
20,48,170
20,49,77
20,50,313
20,51,374
20,52,578
20,53,348
20,54,650
20,55,104
20,56,516
20,57,65
20,58,123
20,59,39
20,60,456
20,61,513
20,62,436
20,63,97
20,64,689
20,65,543
20,66,171
20,67,559
20,68,554
20,69,547
20,70,345
20,71,321
20,72,291
20,73,365
20,74,517
21,1,553
21,2,611
21,3,423
21,4,288
21,5,637
21,6,251
21,7,328
21,8,614
21,9,598
21,10,553
21,11,554
21,12,677
21,13,43
21,14,10
21,15,694
21,16,735
21,17,49
21,18,699
21,19,112
21,20,180
21,21,93
21,22,429
21,23,259
21,24,96
21,25,2
21,26,669
21,27,140
21,28,268
21,29,30
21,30,689
21,31,120
21,32,746
21,33,26
21,34,207
21,35,350
21,36,668
21,37,372
21,38,28
21,39,616
21,40,557
21,41,476
21,42,203
21,43,297
21,44,213
21,45,293
21,46,640
21,47,155
21,48,493
21,49,639
21,50,392
21,51,657
21,52,14
21,53,262
21,54,689
21,55,248
21,56,327
21,57,138
21,58,51
21,59,132
21,60,486
21,61,85
21,62,221
21,63,332
21,64,226
21,65,649
21,66,166
21,67,562
21,68,372
21,69,469
21,70,227
21,71,572
21,72,370
21,73,114
21,74,208
22,1,658
22,2,26
22,3,675
22,4,562
22,5,101
22,6,485
22,7,527
22,8,506
22,9,614
22,10,431
22,11,233
22,12,301
22,13,422
22,14,473
22,15,62
22,16,402
22,17,144
22,18,644
22,19,654
22,20,336
22,21,498
22,22,661
22,23,700
22,24,51
22,25,450
22,26,206
22,27,104
22,28,507
22,29,507
22,30,460
22,31,67
22,32,597
22,33,746
22,34,413
22,35,80
22,36,320
22,37,416
22,38,406
22,39,481
22,40,675
22,41,668
22,42,247
22,43,582
22,44,687
22,45,697
22,46,192
22,47,478
22,48,181
22,49,540
22,50,102
22,51,687
22,52,61
22,53,91
22,54,674
22,55,313
22,56,559
22,57,698
22,58,199
22,59,563
22,60,476
22,61,441
22,62,442
22,63,259
22,64,443
22,65,227
22,66,367
22,67,334
22,68,454
22,69,10
22,70,45
22,71,144
22,72,54
22,73,568
22,74,502
23,1,358
23,2,127
23,3,537
23,4,409
23,5,705
23,6,360
23,7,386
23,8,612
23,9,622
23,10,346
23,11,594
23,12,189
23,13,464
23,14,657
23,15,386
23,16,684
23,17,18
23,18,709
23,19,280
23,20,208
23,21,266
23,22,233
23,23,164
23,24,545
23,25,49
23,26,267
23,27,307
23,28,631
23,29,124
23,30,348
23,31,633
23,32,457
23,33,195
23,34,388
23,35,409
23,36,248
23,37,590
23,38,245
23,39,78
23,40,129
23,41,569
23,42,635
23,43,623
23,44,668
23,45,699
23,46,394
23,47,263
23,48,372
23,49,377
23,50,23
23,51,566
23,52,243
23,53,272
23,54,221
23,55,418
23,56,407
23,57,268
23,58,515
23,59,723
23,60,97
23,61,535
23,62,251
23,63,300
23,64,536
23,65,190
23,66,172
23,67,404
23,68,61
23,69,233
23,70,109
23,71,615
23,72,143
23,73,547
23,74,309
24,1,117
24,2,174
24,3,585
24,4,73
24,5,570
24,6,255
24,7,458
24,8,390
24,9,329
24,10,392
24,11,177
24,12,352
24,13,354
24,14,619
24,15,224
24,16,341
24,17,251
24,18,580
24,19,594
24,20,311
24,21,111
24,22,366
24,23,551
24,24,91
24,25,636
24,26,687
24,27,672
24,28,328
24,29,508
24,30,688
24,31,97
24,32,466
24,33,445
24,34,136
24,35,278
24,36,90
24,37,222
24,38,434
24,39,278
24,40,625
24,41,338
24,42,466
24,43,501
24,44,528
24,45,254
24,46,245
24,47,697
24,48,346
24,49,690
24,50,439
24,51,656
24,52,462
24,53,450
24,54,708
24,55,263
24,56,151
24,57,655
24,58,598
24,59,381
24,60,176
24,61,411
24,62,293
24,63,659
24,64,123
24,65,227
24,66,247
24,67,731
24,68,182
24,69,52
24,70,131
24,71,572
24,72,150
24,73,98
24,74,500
25,1,448
25,2,197
25,3,112
25,4,442
25,5,120
25,6,365
25,7,450
25,8,273
25,9,417
25,10,274
25,11,2
25,12,702
25,13,740
25,14,465
25,15,645
25,16,467
25,17,445
25,18,97
25,19,212
25,20,92
25,21,211
25,22,658
25,23,443
25,24,298
25,25,502
25,26,269
25,27,354
25,28,116
25,29,175
25,30,559
25,31,338
25,32,512
25,33,173
25,34,218
25,35,245
25,36,61
25,37,324
25,38,248
25,39,555
25,40,5
25,41,66
25,42,317
25,43,119
25,44,114
25,45,345
25,46,163
25,47,360
25,48,531
25,49,665
25,50,197
25,51,240
25,52,598
25,53,580
25,54,559
25,55,27
25,56,102
25,57,605
25,58,588
25,59,666
25,60,106
25,61,25
25,62,542
25,63,603
25,64,529
25,65,601
25,66,185
25,67,472
25,68,130
25,69,305
25,70,401
25,71,257
25,72,195
25,73,170
25,74,506
26,1,259
26,2,507
26,3,159
26,4,619
26,5,391
26,6,110
26,7,41
26,8,691
26,9,685
26,10,180
26,11,465
26,12,603
26,13,291
26,14,295
26,15,425
26,16,610
26,17,569
26,18,530
26,19,391
26,20,588
26,21,478
26,22,183
26,23,618
26,24,713
26,25,394
26,26,489
26,27,322
26,28,270
26,29,431
26,30,641
26,31,519
26,32,709
26,33,340
26,34,241
26,35,345
26,36,158
26,37,462
26,38,645
26,39,47
26,40,485
26,41,646
26,42,327
26,43,596
26,44,545
26,45,115
26,46,86
26,47,625
26,48,112
26,49,455
26,50,321
26,51,151
26,52,201
26,53,535
26,54,655
26,55,230
26,56,21
26,57,161
26,58,682
26,59,155
26,60,240
26,61,550
26,62,117
26,63,402
26,64,19
26,65,210
26,66,506
26,67,142
26,68,574
26,69,510
26,70,636
26,71,414
26,72,525
26,73,495
26,74,411
27,1,593
27,2,270
27,3,321
27,4,19
27,5,667
27,6,43
27,7,442
27,8,79
27,9,446
27,10,69
27,11,469
27,12,189
27,13,224
27,14,393
27,15,253
27,16,31
27,17,421
27,18,379
27,19,118
27,20,688
27,21,423
27,22,147
27,23,236
27,24,544
27,25,270
27,26,24
27,27,225
27,28,655
27,29,438
27,30,636
27,31,86
27,32,558
27,33,26
27,34,130
27,35,709
27,36,556
27,37,211
27,38,56
27,39,654
27,40,297
27,41,200
27,42,238
27,43,236
27,44,475
27,45,402
27,46,549
27,47,105
27,48,586
27,49,132
27,50,427
27,51,28
27,52,512
27,53,428
27,54,445
27,55,5
27,56,427
27,57,52
27,58,585
27,59,225
27,60,182
27,61,353
27,62,5
27,63,218
27,64,297
27,65,611
27,66,682
27,67,434
27,68,187
27,69,512
27,70,489
27,71,579
27,72,482
27,73,209
27,74,384
28,1,284
28,2,264
28,3,18
28,4,53
28,5,105
28,6,121
28,7,225
28,8,27
28,9,710
28,10,403
28,11,48
28,12,417
28,13,182
28,14,51
28,15,554
28,16,133
28,17,416
28,18,296
28,19,556
28,20,39
28,21,140
28,22,227
28,23,349
28,24,433
28,25,368
28,26,414
28,27,648
28,28,290
28,29,444
28,30,687
28,31,175
28,32,362
28,33,654
28,34,619
28,35,470
28,36,136
28,37,203
28,38,213
28,39,319
28,40,305
28,41,144
28,42,582
28,43,185
28,44,664
28,45,414
28,46,526
28,47,123
28,48,462
28,49,665
28,50,143
28,51,707
28,52,69
28,53,565
28,54,133
28,55,408
28,56,566
28,57,526
28,58,549
28,59,347
28,60,88
28,61,507
28,62,191
28,63,127
28,64,433
28,65,7
28,66,178
28,67,188
28,68,312
28,69,733
28,70,296
28,71,669
28,72,650
28,73,236
28,74,557
29,1,481
29,2,641
29,3,724
29,4,215
29,5,48
29,6,422
29,7,504
29,8,266
29,9,358
29,10,538
29,11,119
29,12,237
29,13,586
29,14,24
29,15,507
29,16,103
29,17,371
29,18,187
29,19,316
29,20,647
29,21,317
29,22,477
29,23,302
29,24,57
29,25,425
29,26,420
29,27,683
29,28,153
29,29,164
29,30,374
29,31,434
29,32,340
29,33,720
29,34,544
29,35,295
29,36,348
29,37,572
29,38,192
29,39,66
29,40,240
29,41,202
29,42,226
29,43,578
29,44,209
29,45,515
29,46,542
29,47,217
29,48,422
29,49,544
29,50,525
29,51,622
29,52,385
29,53,670
29,54,636
29,55,674
29,56,79
29,57,450
29,58,478
29,59,4
29,60,557
29,61,276
29,62,188
29,63,44
29,64,512
29,65,117
29,66,702
29,67,485
29,68,746
29,69,39
29,70,92
29,71,514
29,72,709
29,73,401
29,74,27
30,1,587
30,2,275
30,3,439
30,4,79
30,5,88
30,6,591
30,7,132
30,8,194
30,9,434
30,10,377
30,11,275
30,12,109
30,13,549
30,14,423
30,15,454
30,16,669
30,17,532
30,18,92
30,19,567
30,20,434
30,21,475
30,22,627
30,23,422
30,24,220
30,25,437
30,26,398
30,27,71
30,28,528
30,29,514
30,30,221
30,31,344
30,32,325
30,33,690
30,34,512
30,35,302
30,36,643
30,37,526
30,38,173
30,39,161
30,40,526
30,41,44
30,42,680
30,43,146
30,44,592
30,45,444
30,46,402
30,47,3
30,48,575
30,49,245
30,50,469
30,51,355
30,52,641
30,53,80
30,54,616
30,55,121
30,56,208
30,57,149
30,58,321
30,59,473
30,60,393
30,61,524
30,62,58
30,63,4
30,64,89
30,65,301
30,66,468
30,67,460
30,68,110
30,69,97
30,70,134
30,71,581
30,72,269
30,73,305
30,74,317
31,1,504
31,2,269
31,3,113
31,4,485
31,5,700
31,6,299
31,7,102
31,8,281
31,9,555
31,10,156
31,11,81
31,12,188
31,13,600
31,14,16
31,15,191
31,16,182
31,17,158
31,18,206
31,19,638
31,20,192
31,21,257
31,22,13
31,23,709
31,24,708
31,25,30
31,26,375
31,27,653
31,28,569
31,29,664
31,30,161
31,31,455
31,32,244
31,33,345
31,34,54
31,35,248
31,36,443
31,37,463
31,38,539
31,39,744
31,40,319
31,41,515
31,42,17
31,43,460
31,44,354
31,45,335
31,46,254
31,47,636
31,48,695
31,49,85
31,50,253
31,51,578
31,52,608
31,53,693
31,54,98
31,55,235
31,56,62
31,57,421
31,58,331
31,59,214
31,60,275
31,61,164
31,62,198
31,63,619
31,64,528
31,65,166
31,66,544
31,67,351
31,68,238
31,69,160
31,70,604
31,71,712
31,72,139
31,73,19
31,74,167
32,1,69
32,2,149
32,3,549
32,4,622
32,5,196
32,6,65
32,7,650
32,8,86
32,9,160
32,10,164
32,11,139
32,12,339
32,13,693
32,14,482
32,15,649
32,16,469
32,17,126
32,18,5
32,19,344
32,20,430
32,21,43
32,22,377
32,23,160
32,24,486
32,25,501
32,26,435
32,27,609
32,28,567
32,29,397
32,30,140
32,31,206
32,32,401
32,33,310
32,34,161
32,35,288
32,36,455
32,37,360
32,38,379
32,39,656
