O,D,Ton
22,26,1000
22,27,995
22,28,155
22,29,436
22,30,1014
22,31,542
22,32,1163
22,33,345
22,34,603
22,35,68
22,36,936
22,37,535
22,38,908
23,1,638
23,2,1017
23,3,1409
23,4,827
23,5,631
23,6,1031
23,7,953
23,8,1043
23,9,200
23,10,1219
23,11,328
23,12,1134
23,13,113
23,14,485
23,15,745
23,16,562
23,17,788
23,18,1138
23,19,970
23,20,51
23,21,892
23,22,935
23,24,350
23,25,1427
23,26,1333
23,27,679
23,28,226
23,29,448
23,30,1473
23,31,390
23,32,339
23,33,1002
23,34,531
23,35,547
23,36,24
23,37,955
23,38,419
24,1,915
24,2,379
24,3,1337
24,4,1366
24,5,1071
24,6,974
24,7,233
24,8,397
24,9,857
24,10,11
24,11,148
24,12,1268
24,13,1032
24,14,262
24,15,1165
24,16,1024
24,17,1415
24,18,280
24,19,549
24,20,1231
24,21,1250
24,22,754
24,23,558
24,25,388
24,26,1020
24,27,1101
24,28,1089
24,29,508
24,30,974
24,31,284
24,32,797
24,33,1217
24,34,1333
24,35,1500
24,36,1136
24,37,1140
24,38,1292
25,1,1515
25,2,1443
25,3,1424
25,4,1423
25,5,189
25,6,141
25,7,1069
25,8,796
25,9,180
25,10,96
25,11,1512
25,12,301
25,13,472
25,14,557
25,15,677
25,16,492
25,17,366
25,18,1060
25,19,1121
25,20,272
25,21,564
25,22,963
25,23,315
25,24,512
25,26,1071
25,27,1234
25,28,210
25,29,16
25,30,1012
25,31,810
25,32,255
25,33,1070
25,34,590
25,35,371
25,36,1273
25,37,486
25,38,274
26,1,783
26,2,1078
26,3,826
26,4,1411
26,5,1199
26,6,676
26,7,1219
26,8,1052
26,9,640
26,10,782
26,11,1166
26,12,424
26,13,423
26,14,362
26,15,620
26,16,858
26,17,1447
26,18,1152
26,19,990
26,20,1255
26,21,271
26,22,899
26,23,353
26,24,764
26,25,19
26,27,1058
26,28,997
26,29,129
26,30,120
26,31,1223
26,32,371
26,33,747
26,34,977
26,35,1457
26,36,970
26,37,1403
26,38,183
27,1,872
27,2,344
27,3,959
27,4,1137
27,5,465
27,6,1298
27,7,736
27,8,1021
27,9,921
27,10,250
27,11,988
27,12,693
27,13,1381
27,14,935
27,15,1334
27,16,296
27,17,920
27,18,591
27,19,556
27,20,1110
27,21,541
27,22,1412
27,23,749
27,24,334
27,25,313
27,26,482
27,28,1263
27,29,92
27,30,998
27,31,814
27,32,1419
27,33,573
27,34,1407
27,35,1463
27,36,408
27,37,706
27,38,501
28,1,493
28,2,1193
28,3,398
28,4,461
28,5,1056
28,6,1348
28,7,59
28,8,1397
28,9,588
28,10,257
28,11,1105
28,12,1208
28,13,1134
28,14,700
28,15,1374
28,16,254
28,17,1008
28,18,908
28,19,1329
28,20,1238
28,21,1433
28,22,187
28,23,1468
28,24,593
28,25,591
28,26,26
28,27,474
28,29,11
28,30,467
28,31,1348
28,32,248
28,33,869
28,34,952
28,35,801
28,36,302
28,37,1502
28,38,1205
29,1,913
29,2,547
29,3,1364
29,4,85
29,5,1244
29,6,124
29,7,315
29,8,643
29,9,394
29,10,1231
29,11,190
29,12,1327
29,13,1243
29,14,431
29,15,4
29,16,945
29,17,1080
29,18,1291
29,19,1070
29,20,1098
29,21,528
29,22,431
29,23,78
29,24,529
29,25,520
29,26,1074
29,27,1422
29,28,592
29,30,1288
29,31,130
29,32,554
29,33,1093
29,34,888
29,35,1148
29,36,56
29,37,211
29,38,399
30,1,96
30,2,1024
30,3,680
30,4,254
30,5,1222
30,6,829
30,7,1011
30,8,227
30,9,632
30,10,980
30,11,573
30,12,687
30,13,1304
30,14,613
30,15,1072
30,16,384
30,17,988
30,18,11
30,19,1173
30,20,190
30,21,646
30,22,1441
30,23,1264
30,24,758
30,25,495
30,26,988
30,27,879
30,28,961
30,29,1374
30,31,542
30,32,942
30,33,375
30,34,783
30,35,1296
30,36,1173
30,37,574
30,38,801
31,1,1211
31,2,876
31,3,1246
31,4,939
31,5,381
31,6,1084
31,7,1158
31,8,1156
31,9,631
31,11,1468
31,12,207
31,13,823
31,14,742
31,15,612
31,16,116
31,17,188
31,18,726
31,19,8
31,20,729
31,21,763
31,22,1348
31,23,389
31,24,375
31,25,203
31,26,377
31,27,977
31,28,1301
31,29,859
31,30,754
31,32,820
31,33,785
31,34,227
31,35,1112
31,36,663
31,37,1324
31,38,463
32,1,962
32,2,1159
32,3,1073
32,4,856
32,5,616
32,6,1296
32,7,979
32,8,915
32,9,1358
32,10,1052
32,11,727
32,12,390
32,13,57
32,14,17
32,15,102
32,16,1095
32,17,222
32,18,1020
32,19,92
32,20,50
32,21,739
32,22,1539
32,23,1378
32,24,1454
32,25,1345
32,26,1432
32,27,1205
32,28,129
32,29,414
32,30,245
32,31,86
32,33,1125
32,34,155
32,35,559
32,36,1180
32,37,1226
32,38,680
33,1,105
33,2,751
33,3,226
33,4,44
33,5,451
33,6,27
33,7,1128
33,8,522
33,9,1201
33,10,1038
33,11,333
33,12,297
33,13,1000
33,14,177
33,15,1506
33,16,296
33,17,1197
33,18,260
33,19,367
33,20,251
33,21,40
33,22,1048
33,23,1473
33,24,521
33,25,1465
33,26,1235
33,27,729
33,28,1422
33,29,1202
33,30,676
33,31,831
33,32,72
33,34,942
33,35,568
33,36,1330
33,37,1231
33,38,1271
34,1,510
34,2,1084
34,3,840
34,4,1341
34,5,933
34,6,601
34,7,237
34,8,322
34,9,849
34,10,809
34,11,950
34,12,246
34,13,65
34,14,1201
34,15,744
34,16,28
34,17,1180
34,18,849
34,19,1216
34,20,1123
34,21,1296
34,22,733
34,23,618
34,24,1305
34,25,416
34,26,697
34,27,485
34,28,331
34,29,351
34,30,672
34,31,1450
34,32,516
34,33,65
34,35,18
34,36,726
34,37,485
34,38,883
35,1,879
35,2,962
35,3,624
35,4,1167
35,5,864
35,6,550
35,7,472
35,8,353
35,9,875
35,10,114
35,11,227
35,12,323
35,13,375
35,14,1016
35,15,642
35,16,187
35,17,1460
35,18,451
35,19,177
35,20,64
35,21,3
35,22,809
35,23,123
35,24,1378
35,25,591
35,26,993
35,27,127
35,28,1092
35,29,617
35,30,940
35,31,1401
35,32,893
35,33,303
35,34,1122
35,36,10
35,37,976
35,38,172
36,1,925
36,2,1256
36,3,1000
36,4,511
36,5,842
36,6,862
36,7,427
36,8,1505
36,9,587
36,10,943
36,11,623
36,12,1135
36,13,1078
36,14,973
36,15,1075
36,16,10
36,17,351
36,18,1429
36,19,586
36,20,1023
36,21,1097
36,22,68
36,23,1137
36,24,223
36,25,1409
36,26,156
36,27,501
36,28,455
36,29,39
36,30,37
36,31,231
36,32,1368
36,33,81
36,34,239
36,35,238
36,37,1404
36,38,1
37,1,217
37,2,365
37,3,986
37,4,1035
37,5,1405
37,6,905
37,7,716
37,8,981
37,9,139
37,10,1043
37,11,1412
37,12,369
37,13,1158
37,14,1309
37,15,963
37,16,404
37,17,510
37,18,655
37,19,1345
37,20,1359
37,21,302
37,22,497
37,23,19
37,24,969
37,25,998
37,26,859
37,27,338
37,28,650
37,29,1406
37,30,833
37,31,205
37,32,169
37,33,1091
37,34,1394
37,35,744
37,36,202
37,38,1013
38,1,895
38,2,784
38,3,571
38,4,1148
38,5,342
38,6,600
38,7,172
38,8,285
38,9,1233
38,10,548
38,11,730
38,12,193
38,13,1270
38,14,1291
38,15,986
38,16,461
38,17,1178
38,18,591
38,19,1043
38,20,1099
38,21,208
38,22,1365
38,23,1171
38,24,48
38,25,890
38,26,591
38,27,514
38,28,404
38,29,1383
38,30,567
38,31,599
38,32,605
38,33,1199
38,34,1361
38,35,1310
38,36,775
38,37,619
